+-------------------------------------------------------------------+-------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------+
| ID                                                                | Name                                                  | Description                                                                                                                                                                                                                                                                                                                                                                                                      | Parent                                                            |
| arcanearchives:slivers                                            | [Anger Management]                                    | Let the hate flow through you! Smash raw quartz to get slivers of light.                                                                                                                                                                                                                                                                                                                                         | arcanearchives:raw_quartz                                         |
| arcanearchives:tank                                               | [That's No Panzer]                                    | Craft a Radiant Tank in a Gem Cutter's Table. Store all the fluid!                                                                                                                                                                                                                                                                                                                                               | arcanearchives:gemcutters_table                                   |
| arcanearchives:trove                                              | [Treasure Trove]                                      | Craft a Radiant Trove in a Gem Cutter's Table. Store all of a thing!                                                                                                                                                                                                                                                                                                                                             | arcanearchives:gemcutters_table                                   |
| arcanearchives:workbench                                          | [Iridescent Crafting]                                 | Use raw quartz to convert a boring workbench into something persistent.                                                                                                                                                                                                                                                                                                                                          | arcanearchives:raw_quartz                                         |
| armorunder:recipes/misc/armor_cool_liners                         | armorunder:recipes/misc/armor_cool_liners             | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | armorunder:recipes/root                                           |
| armorunder:recipes/misc/armor_warm_liners                         | armorunder:recipes/misc/armor_warm_liners             | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | armorunder:recipes/root                                           |
| armorunder:recipes/misc/cool_liner_material                       | armorunder:recipes/misc/cool_liner_material           | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | armorunder:recipes/root                                           |
| armorunder:recipes/misc/cooling_goo                               | armorunder:recipes/misc/cooling_goo                   | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | armorunder:recipes/root                                           |
| armorunder:recipes/misc/heating_goo                               | armorunder:recipes/misc/heating_goo                   | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | armorunder:recipes/root                                           |
| armorunder:recipes/misc/warm_liner_material                       | armorunder:recipes/misc/warm_liner_material           | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | armorunder:recipes/root                                           |
| armorunder:recipes/root                                           | armorunder:recipes/root                               | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | -                                                                 |
| astralsorcery:attune_crystal                                      | [Picking up good vibrations]                          | Attune a crystal to a Constellation.                                                                                                                                                                                                                                                                                                                                                                             | astralsorcery:attune_self                                         |
| astralsorcery:attune_self                                         | [I can see the light]                                 | Attune yourself to a Bright constellation.                                                                                                                                                                                                                                                                                                                                                                       | astralsorcery:find_constellation                                  |
| astralsorcery:attune_trait                                        | [We have to go deeper]                                | Further modify the attunement of a crystal by adding a Faint trait.                                                                                                                                                                                                                                                                                                                                              | astralsorcery:attune_crystal                                      |
| astralsorcery:celestial_crystals                                  | [Homegrown is best]                                   | Harvest a Celestial Crystal from a Crystal Cluster.                                                                                                                                                                                                                                                                                                                                                              | astralsorcery:rock_crystals                                       |
| astralsorcery:craft_t2_altar                                      | [Upgrade complete]                                    | Upgrade a Luminous Crafting Table into a Starlight Crafting Altar.                                                                                                                                                                                                                                                                                                                                               | astralsorcery:rock_crystals                                       |
| astralsorcery:craft_t3_altar                                      | [Shooting across the sky]                             | Craft a Celestial Altar.                                                                                                                                                                                                                                                                                                                                                                                         | astralsorcery:craft_t2_altar                                      |
| astralsorcery:craft_t4_altar                                      | [Can you take me higher]                              | Craft an Iridescent Altar.                                                                                                                                                                                                                                                                                                                                                                                       | astralsorcery:craft_t3_altar                                      |
| astralsorcery:find_constellation                                  | [I can see clearly now]                               | Discover a Bright Constellation using the Looking Glass.                                                                                                                                                                                                                                                                                                                                                         | astralsorcery:root                                                |
| astralsorcery:find_minor_constellation                            | [Is there anybody out there]                          | Discover a Faint Constellation using an Observatory.                                                                                                                                                                                                                                                                                                                                                             | astralsorcery:find_weak_constellation                             |
| astralsorcery:find_weak_constellation                             | [Gotta squint sometimes]                              | Discover a Dim Constellation using the Telescope.                                                                                                                                                                                                                                                                                                                                                                | astralsorcery:find_constellation                                  |
| astralsorcery:perk_level_large                                    | [It all looks so different on this side]              | Develop your personal starlight to maximum level.                                                                                                                                                                                                                                                                                                                                                                | astralsorcery:perk_level_medium                                   |
| astralsorcery:perk_level_medium                                   | [No sign of the morning coming]                       | Develop your personal starlight to level 20.                                                                                                                                                                                                                                                                                                                                                                     | astralsorcery:perk_level_small                                    |
| astralsorcery:perk_level_small                                    | [It's a start]                                        | Develop your personal starlight to level 10.                                                                                                                                                                                                                                                                                                                                                                     | astralsorcery:attune_self                                         |
| astralsorcery:rock_crystals                                       | [It's worth how much?]                                | Gather a Rock Crystal.                                                                                                                                                                                                                                                                                                                                                                                           | astralsorcery:root                                                |
| astralsorcery:root                                                | [Astral Sorcery]                                      | Ride the light                                                                                                                                                                                                                                                                                                                                                                                                   | -                                                                 |
| betterwithmods:anchor                                             | [Anchor]                                              | Do You Feel Bound To Something?                                                                                                                                                                                                                                                                                                                                                                                  | betterwithmods:rope                                               |
| betterwithmods:axle                                               | [Wooden Axle]                                         | Infinite Power Transfer                                                                                                                                                                                                                                                                                                                                                                                          | betterwithmods:rope                                               |
| betterwithmods:bellows                                            | [Bellows]                                             | Don't try this at home!                                                                                                                                                                                                                                                                                                                                                                                          | betterwithmods:saw                                                |
| betterwithmods:block_dispenser                                    | [Block Dispenser]                                     | Starting A Hemp Dispensery                                                                                                                                                                                                                                                                                                                                                                                       | betterwithmods:steel_anvil                                        |
| betterwithmods:bloodwood                                          | [Bloodwood]                                           | Wood Needs Blood                                                                                                                                                                                                                                                                                                                                                                                                 | betterwithmods:hibachi                                            |
| betterwithmods:buddy_block                                        | [Buddy Block]                                         | Made In China                                                                                                                                                                                                                                                                                                                                                                                                    | betterwithmods:steel_anvil                                        |
| betterwithmods:cauldron                                           | [Cooking Cauldron]                                    | Not A Witch In Sight                                                                                                                                                                                                                                                                                                                                                                                             | betterwithmods:root                                               |
| betterwithmods:chopping_block                                     | [Bloodied Stone Chopping Block]                       | No Dragon To Save You This Time                                                                                                                                                                                                                                                                                                                                                                                  | betterwithmods:saw                                                |
| betterwithmods:companion_cube                                     | [Companion Cube]                                      | It Will Accompany You Through The Test Chambers.                                                                                                                                                                                                                                                                                                                                                                 | betterwithmods:block_dispenser                                    |
| betterwithmods:composite_bow                                      | [Composite Bow]                                       | Pew Pew                                                                                                                                                                                                                                                                                                                                                                                                          | betterwithmods:glue                                               |
| betterwithmods:concentrated_hellfire                              | [Concentrated Hellfire]                               | Concentrated HellfirePVP                                                                                                                                                                                                                                                                                                                                                                                         | betterwithmods:hellfire_dust                                      |
| betterwithmods:corner                                             | [ Corner]                                             | Hiding In A Corner                                                                                                                                                                                                                                                                                                                                                                                               | betterwithmods:moulding                                           |
| betterwithmods:crucible                                           | [Crucible]                                            | Witches In Sight                                                                                                                                                                                                                                                                                                                                                                                                 | betterwithmods:kiln                                               |
| betterwithmods:detector                                           | [Detector Block]                                      | Who Watches The Watchers?                                                                                                                                                                                                                                                                                                                                                                                        | betterwithmods:steel_anvil                                        |
| betterwithmods:dynamite                                           | [Dynamite]                                            | Hillbilly Fishing                                                                                                                                                                                                                                                                                                                                                                                                | betterwithmods:hibachi                                            |
| betterwithmods:ender_spectacles                                   | [Ender Spectacles]                                    | Look through my balls!                                                                                                                                                                                                                                                                                                                                                                                           | betterwithmods:tanned_leather                                     |
| betterwithmods:explosive_recipe                                   | [Put it in the wrong pot!]                            | It was way too hot!                                                                                                                                                                                                                                                                                                                                                                                              | betterwithmods:cauldron                                           |
| betterwithmods:filtered_hopper                                    | [Filtered Hopper]                                     | Keeps Junk Out Of Your Trunk                                                                                                                                                                                                                                                                                                                                                                                     | betterwithmods:saw                                                |
| betterwithmods:gearbox                                            | [Wooden Gearbox]                                      | What Could Go Wrong                                                                                                                                                                                                                                                                                                                                                                                              | betterwithmods:axle                                               |
| betterwithmods:glue                                               | [Glue]                                                | Horsey?                                                                                                                                                                                                                                                                                                                                                                                                          | betterwithmods:hibachi                                            |
| betterwithmods:hand_crank                                         | [Hand Crank]                                          | Do You Even Crank, Bro?                                                                                                                                                                                                                                                                                                                                                                                          | betterwithmods:wood_gear                                          |
| betterwithmods:hellfire_dust                                      | [Hellfire Dust]                                       | Add Just A Dash Of Hellfire                                                                                                                                                                                                                                                                                                                                                                                      | betterwithmods:filtered_hopper                                    |
| betterwithmods:hemp_leaf                                          | [Hemp]                                                | 420 Blaze It                                                                                                                                                                                                                                                                                                                                                                                                     | betterwithmods:hemp_seed                                          |
| betterwithmods:hemp_seed                                          | [Hemp Seeds]                                          | Better Than Magic Beans                                                                                                                                                                                                                                                                                                                                                                                          | betterwithmods:root                                               |
| betterwithmods:hibachi                                            | [Hibachi]                                             | Please Use More Than One                                                                                                                                                                                                                                                                                                                                                                                         | betterwithmods:bellows                                            |
| betterwithmods:horizontal_windmill                                | [Windmill]                                            | Water, Earth, Fire, ___                                                                                                                                                                                                                                                                                                                                                                                          | betterwithmods:axle                                               |
| betterwithmods:infernal_enchanter                                 | [Infernal Enchanter]                                  | tu dolor unius crustulum                                                                                                                                                                                                                                                                                                                                                                                         | betterwithmods:steel_anvil                                        |
| betterwithmods:infernal_library                                   | [Construct an Infernal Library]                       | Shhhhhhhh!                                                                                                                                                                                                                                                                                                                                                                                                       | betterwithmods:infernal_enchanter                                 |
